subject_id,n_samples,valence_n,valence_pct_missing,valence_mean,valence_median,valence_std,valence_min,valence_max,valence_q25,valence_q75,valence_iqr,valence_skew,valence_kurtosis,valence_n_outliers_iqr,arousal_n,arousal_pct_missing,arousal_mean,arousal_median,arousal_std,arousal_min,arousal_max,arousal_q25,arousal_q75,arousal_iqr,arousal_skew,arousal_kurtosis,arousal_n_outliers_iqr,vector_length_n,vector_length_pct_missing,vector_length_mean,vector_length_median,vector_length_std,vector_length_min,vector_length_max,vector_length_q25,vector_length_q75,vector_length_iqr,vector_length_skew,vector_length_kurtosis,vector_length_n_outliers_iqr,angle_n,angle_pct_missing,angle_circ_mean_deg,angle_circ_std_deg,angle_resultant_length_R,angle_min,angle_max
sub-014,1393,1393,0.0,-0.7009667828613066,-0.8879401,0.4244771930643377,-1.0,0.96046436,-1.0,-0.5194956,0.48050440000000005,1.8038390520465384,2.7945987298656947,102,1393,0.0,-0.13589019100179467,-0.1234776,0.6400040781499239,-1.0,1.0,-0.6544496,0.36439013,1.0188397299999998,0.2378677439666579,-1.1645385194932092,0,1393,0.0,0.7232812859849993,0.7396732510629271,0.1627108836909969,0.09323389743513703,1.0,0.6576758782930698,0.8093048457334295,0.1516289674403597,-1.1587534193842566,1.6943169861031677,92,1393,0.0,191.04272212523367,51.48326565642965,0.6678455842431318,7.824048712159993,359.64771113250237
sub-015,1393,1393,0.0,0.18774671890611627,0.70001507,0.8561297837850503,-1.0,1.0,-1.0,1.0,2.0,-0.4204048675125679,-1.6061630573498258,0,1393,0.0,-0.6943825454841314,-1.0,0.4270678098539777,-1.0,0.6551315,-1.0,-0.39879513,0.60120487,1.1856909817620367,0.2503441409571776,28,1393,0.0,0.8338739371454867,0.8523219397645476,0.14394830949728166,0.0496857961457428,1.0,0.7140601728221835,0.9733501147292974,0.25928994190711396,-0.9772056713249663,2.3779852508383277,7,1393,0.0,281.64098437554384,60.13941003562906,0.5764525098817401,0.04041016800977104,359.4088265424675
sub-016,1393,1393,0.0,0.11217533602702803,0.051363185,0.6899302582713777,-1.0,1.0,-0.37820747,0.82499206,1.20319953,-0.15554684977335384,-1.2185115824607697,0,1393,0.0,0.08681516837824843,0.20629685,0.673872540040552,-1.0,1.0,-0.5185567,0.6694129,1.1879696,-0.24941523043940836,-1.2315283319926469,0,1393,0.0,0.6632194922011275,0.7112301653196033,0.18693638297350532,0.08982671429094025,1.0,0.5456558072012154,0.7705658611302886,0.22491005392907315,-0.8242504774624734,0.17151604387246078,20,1393,0.0,38.79082982723782,111.85182096164068,0.14874700718557743,0.19807314398696008,359.95448259507674
sub-017,1393,1393,0.0,0.057535376510804016,0.070684806,0.58730600343715,-1.0,1.0,-0.375916275,0.46146858,0.837384855,-0.11490351406587691,-0.8755666319579825,0,1393,0.0,0.12965906798133525,0.2702653366666667,0.7601060417778155,-1.0,1.0,-0.6038759,0.90201086,1.50588676,-0.2764815982627886,-1.4679116954463138,0,1393,0.0,0.6644687851542204,0.7160460505827877,0.17197948461878418,0.01687890700988198,1.0,0.633738199706128,0.7635078630586417,0.12976966335251372,-1.4914211465410478,1.7484763828066248,187,1393,0.0,55.20470252342813,118.5857723383675,0.11743688481745218,0.8702005122448782,359.56420459955365
sub-018,1393,1393,0.0,0.31507973963869346,0.51793545,0.6973998149910169,-1.0,1.0,-0.1840594,1.0,1.1840594,-0.6765168531719837,-0.8955148335193606,0,1393,0.0,0.24725760032735825,0.5376143,0.7934588703278427,-1.0,1.0,-0.57227814,1.0,1.5722781399999999,-0.5568164969741392,-1.287108686198877,0,1393,0.0,0.7799965479213533,0.7804642774741718,0.17147437499779833,0.05931305440221781,1.0,0.7138288178258693,0.8820155603145223,0.16818674248865306,-1.5778855970259136,4.067601667954236,74,1393,0.0,34.75853183317507,84.56314060589989,0.33650303080602817,0.0124224054776505,359.8598019764103
sub-019,1393,1393,0.0,-0.25881382307961953,-0.33299536,0.7012071949919748,-1.0,1.0,-0.935966,0.15896752,1.0949335199999999,0.6610152403189133,-0.848558490379304,0,1393,0.0,-0.12045158076450108,-0.1735003,0.6726375282769115,-1.0,1.0,-0.77783585,0.4766632,1.25449905,0.17162170730937304,-1.3145099132439708,0,1393,0.0,0.6864504002411222,0.7237959936497965,0.2031983774796455,0.06517351228317886,1.0,0.5893163043911168,0.8167736272430456,0.22745732285192877,-0.8394138561969201,0.32269504026469287,56,1393,0.0,207.81430727732698,91.52117580491678,0.27921955051924885,0.06439940345887862,359.793560071088
sub-020,1393,1393,0.0,0.03261166890732231,0.11769,0.8098199225118016,-1.0,1.0,-0.963799,0.9023181,1.8661170999999999,-0.11064554971816502,-1.637540948210981,0,1393,0.0,-0.2931689045517229,-0.4312546,0.6314821900433528,-1.0,1.0,-0.8581585,0.13372283,0.99188133,0.6896006839752324,-0.605719155025811,0,1393,0.0,0.7310656654013887,0.7380204144125148,0.18969737321445773,0.015286681971098892,1.0,0.7037808551216103,0.8544811230112517,0.15070026788964141,-1.1074569534080156,1.5149732824410167,151,1393,0.0,283.6210866949289,88.96735835957053,0.2995264631840737,0.29479709484053274,359.96414862882625
sub-021,1393,1393,0.0,-0.2204896848998923,-0.25809064,0.7107177503719155,-1.0,1.0,-1.0,0.3342399,1.3342399,0.38797921738450913,-1.2170710682857002,0,1393,0.0,0.07947952538083274,0.1664481572000001,0.7678445461789356,-1.0,1.0,-0.72011346,0.83155173,1.55166519,-0.16040796848590658,-1.5735945595372076,0,1393,0.0,0.7305726782851635,0.7567561636241255,0.20178873584031068,0.028286460762883367,1.0,0.7030256855827275,0.8770015959393261,0.17397591035659865,-1.2185599342542819,1.071458899069265,169,1393,0.0,168.95384734221642,103.95907754923279,0.1928052186726188,1.1638548412457794,359.2493573137399
sub-022,1393,1393,0.0,-0.04961764601825127,0.0592762283870967,0.7184878168371616,-1.0,1.0,-0.9116087,0.59917027,1.51077897,-0.03498233515244334,-1.3443082849581813,0,1393,0.0,-0.5318370965425628,-0.84253985,0.5616343039787675,-1.0,1.0,-1.0,-0.091746196,0.908253804,0.8864147469642583,-0.4678942784163387,0,1393,0.0,0.7344509506947128,0.7183490916729138,0.13704740832597656,0.015860259994594367,1.0,0.7075052416971366,0.7975826079900995,0.09007736629296292,-1.170578977586532,4.678425204589511,217,1393,0.0,266.7957966680527,66.73584510193047,0.5074621296718513,1.1887107574467564,359.4974817161306
sub-023,1393,1393,0.0,-0.030397180674099064,-0.074036136,0.4279631658560064,-1.0,1.0,-0.30380654,0.2403211,0.54412764,0.24147632492995036,-0.1603866626974817,0,1393,0.0,-0.12664163753184493,-0.21564935,0.7078772250029538,-1.0,1.0,-0.84891546,0.45903203,1.3079474899999999,0.2627260004159445,-1.302774810896877,0,1393,0.0,0.5539711252071248,0.6340115075926357,0.20857609515946707,0.03789573118037852,0.9986666912335065,0.3702785139923793,0.7158530264664977,0.3455745124741184,-0.5880712693071697,-0.8463567560109269,0,1393,0.0,247.76713698750592,106.58802803349784,0.17721697867830744,0.845608652101248,357.0766903999306
sub-024,1393,1393,0.0,-0.19348049597257716,-0.36017442,0.7671667130463841,-1.0,1.0,-1.0,0.4696804,1.4696804,0.3986848142292984,-1.3907401595701934,0,1393,0.0,0.28340004635525484,0.56593174,0.7175388354834357,-1.0,1.0,-0.4139015,1.0,1.4139015,-0.5403700684675501,-1.2910166953958508,0,1393,0.0,0.7558452657978514,0.7758752903939542,0.1972519421885512,0.008683774646088244,1.0,0.6217652240502577,0.9155490227971438,0.2937837987468861,-0.8899925956212511,0.6459366601171972,8,1393,0.0,128.01071532036505,91.1329684564247,0.2822514242869414,0.7418575824676168,359.84832294612323
